
(datetime.date(2014, 12, 30), 'First', 1L, 20258L, None, 6.195, None, 209828.0, 0.0464037, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20261L, None, 12.46, None, 839314.0, 0.0116009, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20264L, None, 0.882, None, 359706.0, 0.0270688, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20268L, None, 72.0, None, 839314.0, 0.0116009, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20269L, None, 3.76, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20272L, None, 5.96, None, 209828.0, 0.0464037, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20288L, None, 34.04, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20289L, None, 7.965, None, 839314.0, 0.0116009, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20290L, None, 18.4, None, 314743.0, 0.0309358, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20294L, None, 2.234, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20297L, None, 0.47, None, 839314.0, 0.0116009, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20298L, None, 10.06, None, 228904.0, 0.0425367, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20300L, None, 11.21, None, 314743.0, 0.0309358, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20301L, None, 5.465, None, 228904.0, 0.0425367, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20302L, None, 1.734, None, 209828.0, 0.0464037, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20303L, None, 20.41, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20304L, None, 6.7, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2014, 12, 30), 'First', 1L, 20305L, None, 9.6, None, 5035880.0, 0.00193349, None, None, None, None, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 2290L, 0.0618716, 5.435, 29497.9, 160321.0, None, None, None, None, 1.01874, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20001L, 0.0309358, 0.8355, 375812.0, 313991.0, None, None, None, None, 0.997612, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20011L, 0.00193349, 6.385, 805741.0, 5144660.0, None, None, None, None, 1.0216, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20023L, 0.00193349, 19.94, 260522.0, 5194800.0, None, None, None, None, 1.03156, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20024L, 0.0464037, 18.38, 11637.7, 213902.0, None, None, None, None, 1.01941, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20049L, 0.00386698, 10.5, 239576.0, 2515550.0, None, None, None, None, 0.999049, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20071L, 0.0309358, 5.045, 60996.7, 307728.0, None, None, None, None, 0.977713, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20103L, 0.0618716, 3.68, 42578.8, 156690.0, None, None, None, None, 0.995671, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20105L, 0.0773395, 14.59, 8676.57, 126591.0, None, None, None, None, 1.00551, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20117L, 0.0348028, 7.73, 36169.5, 279590.0, None, None, None, None, 0.999354, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20124L, 0.0464037, 17.04, 12342.9, 210322.0, None, None, None, None, 1.00235, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20155L, 0.0348028, 2.454, 115513.0, 283468.0, None, None, None, None, 1.01321, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20174L, 0.000773395, 18.59, 680893.0, 12657800.0, None, None, None, None, 1.00541, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20175L, 0.0270688, 45.31, 7905.62, 358204.0, None, None, None, None, 0.995824, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20177L, 0.0116009, 6.865, 123975.0, 851092.0, None, None, None, None, 1.01403, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20183L, 0.000773395, 5.36, 2379910.0, 12756300.0, None, None, None, None, 1.01323, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20196L, 0.000773395, 3.432, 3659800.0, 12560400.0, None, None, None, None, 0.997674, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20214L, 0.0309358, 0.57, 580171.0, 330697.0, None, None, None, None, 1.05069, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20222L, 0.0502707, 15.21, 12784.7, 194455.0, None, None, None, None, 1.00396, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20248L, 0.0425367, 8.78, 26115.7, 229296.0, None, None, None, None, 1.00171, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20251L, 0.0309358, 4.076, 76766.5, 312900.0, None, None, None, None, 0.994146, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20258L, 0.0464037, 6.23, 33870.6, 211014.0, None, None, None, None, 1.00565, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20261L, 0.0116009, 12.43, 67360.7, 837293.0, None, None, None, None, 0.997592, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20264L, 0.0270688, 0.876, 407830.0, 357259.0, None, None, None, None, 0.993197, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20268L, 0.0116009, 72.05, 11657.1, 839897.0, None, None, None, None, 1.00069, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20269L, 0.00193349, 3.746, 1339330.0, 5017130.0, None, None, None, None, 0.996277, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20272L, 0.0464037, 6.085, 35206.1, 214229.0, None, None, None, None, 1.02097, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20288L, 0.00193349, 34.43, 147940.0, 5093580.0, None, None, None, None, 1.01146, None, None)
(datetime.date(2015, 1, 2), 'Recalculated', 1L, 20289L, 0.0116009, 8.115, 105375.0, 855120.0, None, None, None, None, 1.01883, None, None)
